Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
5,1000.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.07839441,0.07839441,7
5,1000.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.07083133,0.07083133,7
5,1000.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06430169,0.06430169,7
5,1000.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.06407309,0.06407309,7
5,1000.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.06403552,0.06403552,7
5,1000.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.0629634,0.0629634,7
5,1000.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.06185503,0.06185503,7
5,1000.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.06134361,0.06134361,7
5,1000.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.0562434,0.0562434,7
5,1000.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.05308187,0.05308187,7
5,1000.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.05003228,0.05003228,7
1,750.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.07416843,0.07416843,7
1,750.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.05845527,0.05845527,7
25,1428.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.08067216,0.08067216,7
25,1428.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.06090313,0.06090313,7
6,1100.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.11688503,0.11688503,7
6,1100.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.11137669,0.11137669,7
6,1100.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06102293,0.06102293,7
6,1100.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.05476443,0.05476443,7
18,950.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.164881,0.164881,7
18,950.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.13325097,0.13325097,7
18,950.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.12744391,0.12744391,7
18,950.0,1085,1084,nc7h16 + oh => c7h15-2 + h2o,Elementary,-0.12550218,0.12550218,7
18,950.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.12345653,0.12345653,7
18,950.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.11890599,0.11890599,7
18,950.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.11850247,0.11850247,7
18,950.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.11107805,0.11107805,7
18,950.0,1279,1278,c7h15o2-3 => c7h15-3 + o2,Elementary,0.10740506,0.10740506,7
18,950.0,1409,1408,c7h14ooh2-4o2 => c7h14ooh2-4 + o2,Elementary,0.10575422,0.10575422,7
18,950.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.10006184,0.10006184,7
18,950.0,1307,1306,c7h15o2-2 => c7h14ooh2-3,Elementary,0.09670932,0.09670932,7
18,950.0,1301,1300,c7h15o2-1 => c7h14ooh1-2,Elementary,0.09637482,0.09637482,7
18,950.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.09525637,0.09525637,7
18,950.0,1420,1419,c7h14ooh3-5 + o2 => c7h14ooh3-5o2,Elementary,-0.08586217,0.08586217,7
18,950.0,1441,1440,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,-0.08549729,0.08549729,7
18,950.0,1187,1186,c7h15-2 => pc4h9 + c3h6,Elementary,0.08329298,0.08329298,7
18,950.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.08291035,0.08291035,7
18,950.0,1280,1279,c7h15-3 + o2 => c7h15o2-3,Elementary,-0.08235807,0.08235807,7
18,950.0,1427,1426,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,-0.08127057,0.08127057,7
18,950.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.07572202,0.07572202,7
18,950.0,1406,1405,c7h14ooh1-3 + o2 => c7h14ooh1-3o2,Elementary,-0.07499979,0.07499979,7
18,950.0,1424,1423,c7h14ooh4-2 + o2 => c7h14ooh4-2o2,Elementary,-0.0728823,0.0728823,7
18,950.0,1317,1316,c7h15o2-3 => c7h14ooh3-4,Elementary,0.07151417,0.07151417,7
18,950.0,1445,1444,c7h14ooh4-2o2 => nc7ket42 + oh,Elementary,-0.07099407,0.07099407,7
18,950.0,1383,1382,c7h14ooh2-4 => c7h14o2-4 + oh,Elementary,0.06948749,0.06948749,7
18,950.0,1397,1396,c7h14ooh2-4 => oh + ch3cho + c5h10-1,Elementary,0.06620609,0.06620609,7
18,950.0,1419,1418,c7h14ooh3-5o2 => c7h14ooh3-5 + o2,Elementary,0.06604893,0.06604893,7
18,950.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.06596304,0.06596304,7
18,950.0,1325,1324,c7h15o2-4 => c7h14ooh4-3,Elementary,0.06489723,0.06489723,7
18,950.0,1423,1422,c7h14ooh4-2o2 => c7h14ooh4-2 + o2,Elementary,0.06439964,0.06439964,7
18,950.0,1201,1200,c7h15-4 => c2h5 + c5h10-1,Elementary,0.06131659,0.06131659,7
18,950.0,1281,1280,c7h15o2-4 => c7h15-4 + o2,Elementary,0.06053146,0.06053146,7
18,950.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.05861785,0.05861785,7
18,950.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.05716242,0.05716242,7
18,950.0,1405,1404,c7h14ooh1-3o2 => c7h14ooh1-3 + o2,Elementary,0.0544442,0.0544442,7
18,950.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,-0.05226353,0.05226353,7
38,1384.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.09423772,0.09423772,7
38,1384.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.0504305,0.0504305,7
2,800.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.09325926,0.09325926,7
2,800.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.07519491,0.07519491,7
2,800.0,1089,1088,nc7h16 + oh => c7h15-4 + h2o,Elementary,-0.05554235,0.05554235,7
2,800.0,1087,1086,nc7h16 + oh => c7h15-3 + h2o,Elementary,-0.05317572,0.05317572,7
24,1486.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.07305629,0.07305629,7
24,1486.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.05961854,0.05961854,7
12,1200.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.07253232,0.07253232,7
12,1200.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.06363387,0.06363387,7
12,1200.0,1063,1062,nc7h16 => c5h11-1 + c2h5,Elementary,-0.05046046,0.05046046,7
19,1050.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.14128503,0.14128503,7
19,1050.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.13606062,0.13606062,7
19,1050.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.0681284,0.0681284,7
19,1050.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.06645095,0.06645095,7
19,1050.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06637272,0.06637272,7
19,1050.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06574491,0.06574491,7
19,1050.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.05729097,0.05729097,7
19,1050.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.05697041,0.05697041,7
9,750.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.07416843,0.07416843,7
9,750.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.05845527,0.05845527,7
13,750.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.08201121,0.08201121,7
13,750.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.07005942,0.07005942,7
7,1200.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.07253232,0.07253232,7
7,1200.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.06363387,0.06363387,7
7,1200.0,1063,1062,nc7h16 => c5h11-1 + c2h5,Elementary,-0.05046046,0.05046046,7
27,1411.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.11356474,0.11356474,7
27,1411.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.07405307,0.07405307,7
10,950.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.16422718,0.16422718,7
10,950.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.13403012,0.13403012,7
10,950.0,1085,1084,nc7h16 + oh => c7h15-2 + h2o,Elementary,-0.13325002,0.13325002,7
10,950.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.12734097,0.12734097,7
10,950.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.11971165,0.11971165,7
10,950.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.11926781,0.11926781,7
10,950.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.11683912,0.11683912,7
10,950.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.11438352,0.11438352,7
10,950.0,1279,1278,c7h15o2-3 => c7h15-3 + o2,Elementary,0.109232,0.109232,7
10,950.0,1409,1408,c7h14ooh2-4o2 => c7h14ooh2-4 + o2,Elementary,0.10659268,0.10659268,7
10,950.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.1035632,0.1035632,7
10,950.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.0955043,0.0955043,7
10,950.0,1307,1306,c7h15o2-2 => c7h14ooh2-3,Elementary,0.08915492,0.08915492,7
10,950.0,1301,1300,c7h15o2-1 => c7h14ooh1-2,Elementary,0.08845957,0.08845957,7
10,950.0,1187,1186,c7h15-2 => pc4h9 + c3h6,Elementary,0.08836017,0.08836017,7
10,950.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.08782923,0.08782923,7
